kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [a3, a4]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [b3, b4]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [c3, c4]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [d3, d4]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [f3, f4]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [g3, g4]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [h3, h4]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [e6]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [a4]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [b6, b5]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [c6, c5]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [d6, d5]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [e6]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [f6, f5]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [g6, g5]
kvě 10, 2021 12:01:22 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [h6, h5]
kvě 10, 2021 12:01:23 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [d6, d5]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [a3, a4]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [b3, b4]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [c3, c4]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [d3, d4]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [f3, f4]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [g3, g4]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [h3, h4]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [e6]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [a4]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [d4]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [b6, b5]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [c6, c5]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [e6]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [f6, f5]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [g6, g5]
kvě 10, 2021 12:01:24 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [h6, h5]
kvě 10, 2021 12:01:44 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [e6, exd6]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [a3, a4]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [b3, b4]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [c3, c4]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [d3, d4]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [e3, e4]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [f3, f4]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [g3, g4]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [h3, h4]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [a6, a5]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [b6, b5]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [c6, c5]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [d6, d5]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [e6, e5]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [f6, f5]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [g6, g5]
kvě 10, 2021 12:11:00 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [h6, h5]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [e3, e4]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [a3, a4]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [b3, b4]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [c3, c4]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [d3, d4]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [f3, f4]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [g3, g4]
